Contig	Domain	Phylum	Class	Order	Family	Genus	Species
k141_2080438_length_9187_cov_24.9868	Archaea	Euryarchaeota	Halobacteria				
k141_2080790_length_3159_cov_86.1329	Archaea	Euryarchaeota	Halobacteria				
k141_208080_length_2911_cov_72.4574	Archaea	Euryarchaeota	Halobacteria				
k141_208104_length_8641_cov_66.9165	Archaea	Euryarchaeota	Halobacteria				
k141_2081166_length_1572_cov_1.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2081597_length_2554_cov_18.8769	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus rubicundus
k141_20821_length_5255_cov_250.7172	Archaea	Euryarchaeota	Halobacteria				
k141_2082253_length_3019_cov_30.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2082631_length_2398_cov_26.9428	Archaea	Euryarchaeota	Halobacteria				
k141_2082720_length_6027_cov_50.6753	Archaea	Euryarchaeota	Halobacteria				
k141_2083232_length_2821_cov_64.5347	Archaea	Euryarchaeota	Halobacteria				
k141_2083345_length_8008_cov_70.8187	Archaea	Euryarchaeota	Halobacteria				
k141_208374_length_48945_cov_123.3007	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2083752_length_7705_cov_52.1142	Archaea	Euryarchaeota	Halobacteria				
k141_2083774_length_2324_cov_83.1713	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2083818_length_5428_cov_50.5169	Archaea	Euryarchaeota	Halobacteria				
k141_2084058_length_10592_cov_103.6960	Archaea	Euryarchaeota	Halobacteria				
k141_208445_length_1698_cov_47.6333	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2084827_length_16957_cov_63.3181	Archaea	Euryarchaeota	Halobacteria				
k141_2084926_length_2701_cov_64.4453	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	
k141_208597_length_4492_cov_85.3751	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2086491_length_9178_cov_34.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2086687_length_6740_cov_32.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2086862_length_3608_cov_67.5697	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2087283_length_2200_cov_96.3152	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2087355_length_2585_cov_48.0110	Archaea	Euryarchaeota	Halobacteria				
k141_2087686_length_1949_cov_31.1350	Archaea	Euryarchaeota	Halobacteria				
k141_2087727_length_2897_cov_32.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2088082_length_4895_cov_59.3281	Archaea	Euryarchaeota	Halobacteria				
k141_2088138_length_1942_cov_77.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2088562_length_1706_cov_14.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2088594_length_7979_cov_39.2228	Archaea	Euryarchaeota	Halobacteria				
k141_2088629_length_6945_cov_64.6968	Archaea	Euryarchaeota	Halobacteria				
k141_2088944_length_2496_cov_36.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_2089049_length_1532_cov_58.8807	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella pelagica
k141_2089150_length_8900_cov_58.1836	Archaea	Euryarchaeota	Halobacteria				
k141_2089296_length_5167_cov_59.5026	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2089361_length_4838_cov_81.5744	Archaea	Euryarchaeota	Halobacteria				
k141_2089665_length_5154_cov_56.2298	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_209123_length_4161_cov_75.8371	Archaea	Euryarchaeota	Halobacteria				
k141_209127_length_7140_cov_74.8646	Archaea	Euryarchaeota	Halobacteria				
k141_2091446_length_7157_cov_65.2794	Archaea	Euryarchaeota	Halobacteria				
k141_2091818_length_4817_cov_33.5246	Archaea	Euryarchaeota	Halobacteria				
k141_2092142_length_3033_cov_90.0000	Archaea	Euryarchaeota	Halobacteria				
k141_209228_length_6648_cov_32.6213	Archaea	Euryarchaeota	Halobacteria				
k141_2092702_length_8924_cov_24.5963	Archaea	Euryarchaeota	Halobacteria				
k141_2092712_length_2721_cov_96.3888	Archaea	Euryarchaeota	Halobacteria				
k141_2093464_length_9535_cov_54.3004	Archaea	Euryarchaeota	Halobacteria				
k141_209353_length_4196_cov_203.6626	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_209374_length_3361_cov_70.8792	Archaea	Euryarchaeota	Halobacteria				
k141_209378_length_4689_cov_94.8454	Archaea	Euryarchaeota	Halobacteria				
k141_2093976_length_3301_cov_71.0703	Archaea	Euryarchaeota	Halobacteria				
k141_209479_length_1747_cov_15.9570	Archaea	Euryarchaeota	Halobacteria				
k141_2094853_length_13491_cov_49.2666	Archaea	Euryarchaeota	Halobacteria				
k141_2094916_length_19240_cov_56.6046	Archaea	Euryarchaeota	Halobacteria				
k141_2094928_length_2513_cov_49.3048	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2094937_length_11365_cov_169.0000	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
k141_2095297_length_6084_cov_44.4043	Archaea	Euryarchaeota	Halobacteria				
k141_2095444_length_6619_cov_28.0066	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus rubicundus
k141_2095851_length_14327_cov_64.1422	Archaea	Euryarchaeota	Halobacteria				
k141_2096079_length_6072_cov_53.5196	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_209617_length_3839_cov_599.7336	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_2096356_length_5873_cov_114.9412	Archaea	Euryarchaeota	Halobacteria				
k141_2096_length_2129_cov_67.6620	Archaea	Euryarchaeota	Halobacteria				
k141_2097413_length_6435_cov_51.6292	Archaea	Euryarchaeota	Halobacteria				
k141_209758_length_8860_cov_79.3411	Archaea	Euryarchaeota	Halobacteria				
k141_2097777_length_9284_cov_94.9296	Archaea	Euryarchaeota	Halobacteria				
k141_2097830_length_2522_cov_15.5061	Archaea	Euryarchaeota	Halobacteria				
k141_2097841_length_8374_cov_138.1945	Archaea	Euryarchaeota	Halobacteria				
k141_2098200_length_3222_cov_99.4307	Archaea	Euryarchaeota	Halobacteria				
k141_2098433_length_5460_cov_37.0182	Archaea	Euryarchaeota	Halobacteria				
k141_2098747_length_6685_cov_77.5246	Archaea	Euryarchaeota	Halobacteria				
k141_2098930_length_9161_cov_105.1405	Archaea	Euryarchaeota	Halobacteria				
k141_2099217_length_3702_cov_24.2915	Archaea	Euryarchaeota	Halobacteria				
k141_209950_length_5368_cov_99.7159	Archaea	Euryarchaeota	Halobacteria				
k141_2100199_length_2991_cov_380.1042	Archaea	Euryarchaeota	Halobacteria				
k141_2100282_length_1791_cov_34.2236	Archaea	Euryarchaeota	Halobacteria				
k141_2100377_length_2554_cov_42.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2100402_length_2525_cov_619.4438	Archaea	Euryarchaeota	Halobacteria				
k141_2100854_length_5739_cov_22.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2100897_length_1925_cov_23.4283	Archaea	Euryarchaeota	Halobacteria				
k141_2101028_length_4551_cov_193.4558	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2101203_length_4443_cov_11.6020	Archaea	Euryarchaeota	Halobacteria				
k141_2101349_length_4854_cov_33.8555	Archaea	Euryarchaeota	Halobacteria				
k141_2101380_length_9028_cov_55.2732	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2101488_length_8278_cov_71.6030	Archaea	Euryarchaeota	Halobacteria				
k141_2101732_length_6285_cov_44.2544	Archaea	Euryarchaeota	Halobacteria				
k141_2101946_length_5373_cov_43.1781	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2101947_length_8905_cov_70.7444	Archaea	Euryarchaeota	Halobacteria				
k141_210221_length_1539_cov_79.2697	Archaea	Euryarchaeota	Halobacteria				
k141_2102429_length_2158_cov_27.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2102737_length_6270_cov_25.9695	Archaea	Euryarchaeota	Halobacteria				
k141_2103164_length_3711_cov_23.0000	Archaea	Euryarchaeota	Halobacteria				
k141_210333_length_7844_cov_44.6890	Archaea	Euryarchaeota	Halobacteria				
k141_210343_length_5234_cov_63.1689	Archaea	Euryarchaeota	Halobacteria				
k141_2104218_length_1523_cov_84.0326	Archaea	Euryarchaeota	Halobacteria				
k141_210429_length_9005_cov_65.1042	Archaea	Euryarchaeota	Halobacteria				
k141_2104502_length_14415_cov_79.3401	Archaea	Euryarchaeota	Halobacteria				
k141_2104535_length_2185_cov_34.0029	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2104875_length_7759_cov_62.4504	Archaea	Euryarchaeota	Halobacteria				
k141_2104969_length_5301_cov_71.5864	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium sp. DL1
k141_2104995_length_9736_cov_48.4189	Archaea	Euryarchaeota	Halobacteria				
k141_2105178_length_2147_cov_46.4317	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2105361_length_2695_cov_67.7381	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2105823_length_14046_cov_127.7722	Archaea	Euryarchaeota	Halobacteria				
k141_2106079_length_3853_cov_46.5986	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_2106169_length_4150_cov_84.7433	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_210642_length_15693_cov_49.7221	Archaea	Euryarchaeota	Halobacteria				
k141_2106522_length_6344_cov_50.7498	Archaea	Euryarchaeota	Halobacteria				
k141_210655_length_4152_cov_76.0765	Archaea	Euryarchaeota	Halobacteria				
k141_2107027_length_2850_cov_48.6065	Archaea	Euryarchaeota	Halobacteria				
k141_2107911_length_6462_cov_56.0626	Archaea	Euryarchaeota	Halobacteria				
k141_2109109_length_2682_cov_48.0201	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2109322_length_1848_cov_43.5841	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2109533_length_4258_cov_65.8504	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_210985_length_3332_cov_81.9840	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2109903_length_11117_cov_57.9690	Archaea	Euryarchaeota	Halobacteria				
k141_2109972_length_5023_cov_38.8288	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	
k141_2110092_length_1911_cov_44.0056	Archaea	Euryarchaeota	Halobacteria				
k141_2110863_length_1635_cov_292.8541	Archaea	Euryarchaeota	Halobacteria				
k141_211103_length_4238_cov_25.0351	Archaea	Euryarchaeota	Halobacteria				
k141_2111457_length_5672_cov_38.4220	Archaea	Euryarchaeota	Halobacteria				
k141_2111751_length_13658_cov_55.1278	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2111897_length_4765_cov_109.9334	Archaea	Euryarchaeota	Halobacteria				
k141_2112010_length_3128_cov_42.2712	Archaea	Euryarchaeota	Halobacteria				
k141_211206_length_5847_cov_74.6316	Archaea	Euryarchaeota	Halobacteria				
k141_211207_length_2188_cov_84.8407	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2112120_length_2547_cov_66.1455	Archaea	Euryarchaeota	Halobacteria				
k141_2112218_length_2097_cov_52.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2112437_length_1536_cov_429.1355	Archaea	Euryarchaeota	Halobacteria				
k141_2112544_length_8073_cov_374.0276	Archaea	Euryarchaeota	Halobacteria	Haloferacales	halophilic archaeon DL31		
k141_2112565_length_2033_cov_80.7183	Archaea	Euryarchaeota	Halobacteria				
k141_211264_length_1986_cov_72.0894	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2113464_length_8567_cov_30.7499	Archaea	Euryarchaeota	Halobacteria				
k141_2113512_length_1957_cov_30.1635	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2113695_length_11533_cov_82.7695	Archaea	Euryarchaeota	Halobacteria				
k141_211400_length_1716_cov_33.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2114241_length_1664_cov_78.3874	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_211438_length_3076_cov_75.3506	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2114668_length_14292_cov_55.2311	Archaea	Euryarchaeota	Halobacteria				
k141_2115282_length_7778_cov_58.5480	Archaea	Euryarchaeota	Halobacteria				
k141_2116183_length_2698_cov_31.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2116862_length_11239_cov_55.6900	Archaea	Euryarchaeota	Halobacteria				
k141_2117636_length_4011_cov_63.2121	Archaea	Euryarchaeota	Halobacteria				
k141_2117839_length_20208_cov_54.3530	Archaea	Euryarchaeota	Halobacteria				
k141_2117952_length_4557_cov_89.3850	Archaea	Euryarchaeota	Halobacteria				
k141_2117987_length_1853_cov_16.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2117990_length_6453_cov_13.0000	Archaea	Euryarchaeota					
k141_2118097_length_6546_cov_53.1800	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella pelagica
k141_2118729_length_11106_cov_99.7486	Archaea	Euryarchaeota	Halobacteria				
k141_211903_length_4004_cov_253.3997	Archaea	Euryarchaeota	Halobacteria				
k141_2119749_length_8447_cov_75.3165	Archaea	Euryarchaeota	Halobacteria				
k141_2119815_length_4407_cov_64.0138	Archaea	Euryarchaeota	Halobacteria				
k141_2119851_length_3144_cov_77.9903	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2120491_length_3928_cov_100.3377	Archaea	Euryarchaeota	Halobacteria				
k141_2120698_length_1673_cov_11.4615	Archaea	Euryarchaeota	Halobacteria				
k141_2120764_length_4101_cov_32.0124	Archaea	Euryarchaeota	Halobacteria				
k141_21209_length_1781_cov_84.2146	Archaea	Euryarchaeota	Halobacteria				
k141_212196_length_3044_cov_57.0000	Archaea	Euryarchaeota	Halobacteria				
k141_212303_length_5189_cov_86.2763	Archaea	Euryarchaeota	Halobacteria				
k141_2123556_length_5215_cov_77.2168	Archaea	Euryarchaeota	Halobacteria				
k141_2123678_length_2550_cov_61.7464	Archaea	Euryarchaeota	Halobacteria				
k141_2124440_length_3609_cov_33.6018	Archaea	Euryarchaeota	Halobacteria				
k141_2124912_length_11523_cov_68.3053	Archaea	Euryarchaeota	Halobacteria				
k141_2125258_length_4205_cov_184.5923	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2125982_length_2310_cov_76.0503	Archaea	Euryarchaeota	Halobacteria				
k141_2126016_length_2419_cov_104.2015	Archaea	Euryarchaeota	Halobacteria				
k141_2126073_length_3065_cov_38.2924	Archaea	Euryarchaeota	Halobacteria				
k141_2126162_length_1745_cov_30.7781	Archaea	Euryarchaeota	Halobacteria				
k141_2126290_length_4620_cov_19.7944	Archaea	Euryarchaeota	Halobacteria				
k141_212639_length_1554_cov_47.4409	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2126431_length_2206_cov_68.8000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2126779_length_3303_cov_89.4260	Archaea	Euryarchaeota	Halobacteria				
k141_2127040_length_7610_cov_44.6973	Archaea	Euryarchaeota	Halobacteria				
k141_212815_length_8573_cov_78.6146	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2128313_length_1879_cov_33.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2128826_length_2799_cov_38.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2129488_length_2744_cov_88.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2129649_length_6017_cov_34.3639	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	
k141_2129907_length_3275_cov_107.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella pelagica
k141_2130013_length_1550_cov_120.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei
k141_213010_length_3050_cov_82.0760	Archaea	Euryarchaeota	Halobacteria				
k141_2130360_length_2413_cov_70.1686	Archaea	Euryarchaeota	Halobacteria				
k141_213078_length_5648_cov_61.9237	Archaea	Euryarchaeota	Halobacteria				
k141_2130947_length_3808_cov_34.5211	Archaea	Euryarchaeota	Halobacteria				
k141_213133_length_2560_cov_142.4539	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_2131436_length_3465_cov_94.8354	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella pelagica
k141_213165_length_2792_cov_73.3595	Archaea	Euryarchaeota	Halobacteria				
k141_2131777_length_2159_cov_42.5639	Archaea	Euryarchaeota	Halobacteria				
k141_2131897_length_2136_cov_28.5845	Archaea	Euryarchaeota	Halobacteria				
k141_2132038_length_4189_cov_104.0287	Archaea	Euryarchaeota	Halobacteria				
k141_213228_length_6247_cov_87.4766	Archaea	Euryarchaeota	Halobacteria				
k141_213247_length_3175_cov_100.9512	Archaea	Euryarchaeota	Halobacteria				
k141_2133346_length_4219_cov_52.9681	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2133384_length_2313_cov_46.3255	Archaea	Euryarchaeota	Halobacteria				
k141_2133515_length_8180_cov_102.9527	Archaea	Euryarchaeota	Halobacteria				
k141_2133635_length_2640_cov_36.2681	Archaea	Euryarchaeota	Halobacteria				
k141_2134136_length_1906_cov_9.0000	Archaea	Euryarchaeota	Halobacteria				
k141_213433_length_4726_cov_63.2242	Archaea	Euryarchaeota	Halobacteria				
k141_2134886_length_5440_cov_22.9421	Archaea	Euryarchaeota	Halobacteria				
k141_2135268_length_2936_cov_66.2837	Archaea	Euryarchaeota	Halobacteria				
k141_2135294_length_5284_cov_83.8886	Archaea	Euryarchaeota	Halobacteria				
k141_2135359_length_3883_cov_53.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2135443_length_3471_cov_43.0535	Archaea	Euryarchaeota	Halobacteria				
k141_2136079_length_3125_cov_35.5312	Archaea	Euryarchaeota	Halobacteria				
k141_2136096_length_1612_cov_69.0000	Archaea	Euryarchaeota	Halobacteria				
k141_213614_length_3895_cov_38.3452	Archaea	Euryarchaeota	Halobacteria				
k141_2136725_length_14740_cov_41.1021	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus aerogenes
k141_2137190_length_3576_cov_44.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2137936_length_48524_cov_53.1295	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	
k141_2138305_length_2559_cov_112.5620	Archaea	Euryarchaeota	Halobacteria				
k141_2138542_length_8724_cov_18.0000	Archaea	Euryarchaeota	Halobacteria				
k141_213905_length_2121_cov_90.1348	Archaea	Euryarchaeota	Halobacteria				
k141_213908_length_5816_cov_69.3040	Archaea	Euryarchaeota	Halobacteria				
k141_2139364_length_1037_cov_31.2344	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2139698_length_4401_cov_102.8019	Archaea	Euryarchaeota	Halobacteria				
k141_2140012_length_1512_cov_51.5952	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_2140053_length_6337_cov_93.2731	Archaea	Euryarchaeota	Halobacteria				
k141_2140249_length_3898_cov_61.3178	Archaea	Euryarchaeota	Halobacteria				
k141_214037_length_9647_cov_70.5702	Archaea	Euryarchaeota	Halobacteria				
k141_2140429_length_2432_cov_80.6333	Archaea	Euryarchaeota	Halobacteria				
k141_2140624_length_2421_cov_19.0000	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
k141_2140850_length_2967_cov_62.2254	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_214090_length_12451_cov_66.4071	Archaea	Euryarchaeota	Halobacteria				
k141_2141406_length_4297_cov_131.3075	Archaea	Euryarchaeota	Halobacteria				
k141_2141710_length_5640_cov_51.1598	Archaea	Euryarchaeota	Halobacteria				
k141_2141962_length_2063_cov_70.1280	Archaea	Euryarchaeota	Halobacteria				
k141_2142000_length_2710_cov_42.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_214225_length_5711_cov_68.6944	Archaea	Euryarchaeota	Halobacteria				
k141_2142368_length_3419_cov_14.3282	Archaea	Euryarchaeota	Halobacteria				
k141_214319_length_5286_cov_667.6663	Archaea	Euryarchaeota	Halobacteria				
k141_2143473_length_1183_cov_19.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2144058_length_7416_cov_71.4473	Archaea	Euryarchaeota	Halobacteria				
k141_2144221_length_6445_cov_95.4329	Archaea	Euryarchaeota	Halobacteria				
k141_2144452_length_2697_cov_25.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2144488_length_2914_cov_99.9964	Archaea	Euryarchaeota	Halobacteria				
k141_2144745_length_1820_cov_34.9160	Archaea	Euryarchaeota	Halobacteria				
k141_2144929_length_6394_cov_65.0758	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2145381_length_2059_cov_171.0339	Archaea	Euryarchaeota	Halobacteria				
k141_2145453_length_3051_cov_78.5210	Archaea	Euryarchaeota	Halobacteria				
k141_2145727_length_2249_cov_29.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_2146089_length_4077_cov_88.7741	Archaea	Euryarchaeota	Halobacteria				
k141_2146130_length_1894_cov_71.9464	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
k141_2146304_length_14401_cov_53.3865	Archaea	Euryarchaeota	Halobacteria				
k141_2146381_length_7110_cov_80.6535	Archaea	Euryarchaeota	Halobacteria				
k141_2147424_length_3579_cov_51.1492	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2147651_length_6642_cov_72.6925	Archaea	Euryarchaeota	Halobacteria				
k141_2148166_length_3601_cov_22.0000	Archaea	Euryarchaeota	Halobacteria				
k141_214830_length_2793_cov_108.8386	Archaea	Euryarchaeota	Halobacteria				
k141_2148398_length_4838_cov_59.3394	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_214908_length_4601_cov_111.4704	Archaea	Euryarchaeota	Halobacteria				
k141_2149637_length_3833_cov_66.9087	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
k141_2149651_length_2768_cov_85.8725	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2150077_length_1902_cov_182.3390	Archaea	Euryarchaeota	Halobacteria				
k141_2150252_length_1545_cov_15.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2150489_length_5366_cov_34.0000	Archaea	Euryarchaeota	Halobacteria				
k141_215059_length_4891_cov_113.6156	Archaea	Euryarchaeota	Halobacteria				
k141_2150917_length_2499_cov_84.1094	Archaea	Euryarchaeota	Halobacteria				
k141_2151913_length_3039_cov_46.1318	Archaea	Euryarchaeota	Halobacteria				
k141_2151941_length_6249_cov_66.6262	Archaea	Euryarchaeota	Halobacteria				
k141_2152023_length_1762_cov_27.3788	Archaea	Euryarchaeota	Halobacteria				
k141_215234_length_4868_cov_15.7191	Archaea	Euryarchaeota	Halobacteria				
k141_2152624_length_2616_cov_52.0743	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
k141_2152685_length_2570_cov_56.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2153346_length_3056_cov_87.5962	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
k141_215354_length_7451_cov_96.6265	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
k141_2154069_length_6213_cov_97.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2154418_length_3073_cov_36.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2154427_length_2579_cov_17.0000	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
k141_2154525_length_25642_cov_43.2849	Archaea	Euryarchaeota	Halobacteria				
k141_2154811_length_3355_cov_74.1011	Archaea	Euryarchaeota	Halobacteria				
k141_2155162_length_3183_cov_12.8777	Archaea	Euryarchaeota	Halobacteria				
k141_2155267_length_5315_cov_55.5441	Archaea	Euryarchaeota	Halobacteria				
k141_2155848_length_1874_cov_36.4945	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2156329_length_2246_cov_41.0000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_215682_length_6617_cov_45.1652	Archaea	Euryarchaeota	Halobacteria				
k141_2157030_length_6033_cov_43.6303	Archaea	Euryarchaeota	Halobacteria				
k141_2158407_length_4532_cov_81.7249	Archaea	Euryarchaeota	Halobacteria				
k141_2158906_length_3307_cov_43.3572	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_21595_length_11819_cov_68.8962	Archaea	Euryarchaeota	Halobacteria				
k141_216045_length_5633_cov_68.5313	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
k141_2160789_length_1678_cov_95.1021	Archaea	Euryarchaeota	Halobacteria				
k141_216108_length_1964_cov_67.9161	Archaea	Euryarchaeota	Halobacteria	Haloferacales	halophilic archaeon DL31		
k141_2161204_length_3758_cov_26.0000	Archaea	Euryarchaeota	Halobacteria				
k141_216121_length_14263_cov_85.7772	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella pelagica
k141_2161604_length_1656_cov_94.9591	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
k141_2161940_length_4306_cov_98.8879	Archaea	Euryarchaeota	Halobacteria				
k141_2162308_length_1769_cov_66.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2162922_length_3457_cov_73.0000	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
k141_2163677_length_3308_cov_58.8923	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2163779_length_3722_cov_95.4831	Archaea	Euryarchaeota	Halobacteria				
k141_2164236_length_15285_cov_51.1331	Archaea	Euryarchaeota	Halobacteria				
k141_21646_length_3126_cov_20.0000	Archaea	Euryarchaeota	Halobacteria				
k141_2164745_length_3981_cov_41.9404	Archaea	Euryarchaeota	Halobacteria				
k141_216541_length_6568_cov_90.9312	Archaea	Euryarchaeota	Halobacteria				
k141_21655_length_3453_cov_29.0640	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_2165968_length_3266_cov_53.9206	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
k141_216596_length_3760_cov_27.0000	Archaea	Euryarchaeota	Halobacteria				
