KO_ID	Function Name	AL1	AL3	AL4	CH1	CH2	CH3	SG1	SG2	SG3	SG4	SG5	SGT1	SGT2	SGT3	YG1	YG2	YG3
K02011	iron(III) transport system permease protein	36	47	54	65	48	21	46	50	30	47	52	49	57	55	55	53	37
K02012	iron(III) transport system substrate-binding protein	35	48	51	57	43	19	38	41	21	47	49	36	52	53	53	44	34
K02013	iron complex transport system ATP-binding protein [EC:3.6.3.34]	59	57	75	58	54	26	47	59	27	53	61	43	64	52	66	47	45
K02014	iron complex outermembrane recepter protein	40	82	90	140	85	70	100	86	54	97	101	125	117	95	67	107	56
K02015	iron complex transport system permease protein	64	72	84	70	63	31	57	65	32	63	70	49	74	61	81	60	59
K02016	iron complex transport system substrate-binding protein	108	129	155	142	118	68	115	133	72	140	141	96	146	138	163	109	107
K02017	molybdate transport system ATP-binding protein [EC:3.6.3.29]	1	3	2	3	2	3	1	2	1	2	1	1	3	2	2	2	3
K02018	molybdate transport system permease protein	3	7	4	4	4	5	3	5	3	5	3	3	6	4	5	3	6
K02019	molybdate transport system regulatory protein	22	29	38	25	21	9	23	25	12	28	31	14	30	32	26	24	21
K02020	molybdate transport system substrate-binding protein	1	4	2	3	3	3	2	4	2	4	2	2	4	3	4	3	4
K02021	putative ABC transport system ATP-binding protein	1	3	2	1	1	3	1	2	1	3	1	1	3	2	2	1	2
K02022	HlyD family secretion protein	3	3	3	3	3	3	3	3	3	4	4	3	5	3	3	4	4
K02024	maltoporin	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0
K02025	multiple sugar transport system permease protein	110	135	150	128	109	46	93	109	70	107	121	91	135	118	136	106	88
K02026	multiple sugar transport system permease protein	132	139	163	125	114	39	100	116	78	108	125	90	142	127	144	108	89
K02027	multiple sugar transport system substrate-binding protein	82	102	118	100	67	31	81	76	48	84	85	72	94	89	84	74	63
K02028	polar amino acid transport system ATP-binding protein [EC:3.6.3.21]	16	25	34	18	18	9	18	21	8	20	23	14	16	22	23	17	18
K02029	polar amino acid transport system permease protein	21	39	44	35	40	11	32	41	13	38	41	22	28	36	37	35	23
K02030	polar amino acid transport system substrate-binding protein	15	35	37	34	28	10	21	28	11	25	29	21	31	30	27	27	21
K02031	peptide/nickel transport system ATP-binding protein	106	119	138	100	89	48	89	98	49	92	98	65	107	102	119	75	83
K02032	peptide/nickel transport system ATP-binding protein	253	283	291	194	210	75	186	200	107	196	233	137	234	241	242	180	180
K02033	peptide/nickel transport system permease protein	247	296	317	208	213	81	187	221	113	218	262	152	239	228	260	186	185
K02034	peptide/nickel transport system permease protein	239	262	297	210	191	80	179	205	109	206	251	142	227	232	238	175	164
K02035	peptide/nickel transport system substrate-binding protein	324	326	365	217	235	92	197	236	123	225	261	152	252	257	303	189	216
K02036	phosphate transport system ATP-binding protein [EC:3.6.3.27]	38	53	63	62	50	19	46	55	25	57	55	40	51	49	68	39	36
K02037	phosphate transport system permease protein	49	57	66	61	52	30	48	50	25	56	55	44	58	58	69	47	46
K02038	phosphate transport system permease protein	56	62	71	66	53	28	41	56	28	61	54	51	51	50	76	45	54
K02039	phosphate transport system protein	37	55	69	71	43	33	51	53	30	58	63	39	71	66	67	50	33
K02040	phosphate transport system substrate-binding protein	48	62	61	56	44	29	41	53	23	47	60	38	47	48	79	47	41
K02041	phosphonate transport system ATP-binding protein [EC:3.6.3.28]	28	49	40	37	28	14	27	36	14	34	35	21	42	34	32	24	28
K02042	phosphonate transport system permease protein	35	50	50	46	27	17	27	37	13	36	36	24	46	39	40	29	33
K02044	phosphonate transport system substrate-binding protein	27	48	41	38	26	18	28	36	16	31	37	20	38	35	34	24	26
K02045	sulfate transport system ATP-binding protein [EC:3.6.3.25]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K02046	sulfate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K02047	sulfate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K02049	NitT/TauT family transport system ATP-binding protein	45	41	50	45	36	22	35	37	18	32	48	30	46	45	58	42	29
K02050	NitT/TauT family transport system permease protein	62	53	65	60	46	27	41	55	29	54	76	45	62	69	82	68	42
K02051	NitT/TauT family transport system substrate-binding protein	55	46	46	52	51	23	32	42	23	41	42	29	46	44	52	39	34
K02052	putative spermidine/putrescine transport system ATP-binding protein	10	15	11	19	14	5	9	13	9	12	16	11	13	16	16	12	6
K02053	putative spermidine/putrescine transport system permease protein	24	36	39	39	22	12	21	25	16	29	36	18	30	34	42	24	15
K02054	putative spermidine/putrescine transport system permease protein	4	8	8	8	7	0	4	7	2	4	7	5	8	6	8	6	2
K02055	putative spermidine/putrescine transport system substrate-binding protein	19	27	29	36	24	8	20	21	17	24	27	19	26	28	33	19	14
K02056	simple sugar transport system ATP-binding protein [EC:3.6.3.17]	33	57	68	57	46	25	47	46	26	55	59	32	56	54	54	42	28
K02057	simple sugar transport system permease protein	65	97	121	99	90	32	93	85	50	100	130	60	104	117	106	81	56
K02058	simple sugar transport system substrate-binding protein	1	2	5	5	7	3	4	6	3	5	8	4	6	8	3	8	1
K02062	thiamine transport system ATP-binding protein	23	25	31	20	24	9	16	23	13	21	19	12	25	20	23	15	21
K02063	thiamine transport system permease protein	26	28	32	20	20	8	19	20	10	19	23	12	29	20	27	21	20
K02064	thiamine transport system substrate-binding protein	30	28	34	21	21	10	18	23	8	21	25	13	26	20	27	15	19
K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	7	12	14	22	13	7	13	15	9	14	12	18	13	13	12	15	9
K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein	6	13	11	20	12	8	14	14	8	14	12	19	14	12	14	16	9
K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	11	22	14	16	10	7	11	21	6	16	10	15	12	10	17	16	16
K02068	putative ABC transport system ATP-binding protein	6	6	12	7	6	5	4	7	2	4	6	4	6	4	9	6	5
K02069	putative ABC transport system permease protein	5	10	14	8	10	6	3	7	2	9	8	7	8	11	12	7	7
K02071	D-methionine transport system ATP-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02074	zinc/manganese transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02075	zinc/manganese transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K02077	zinc/manganese transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
K02078	acyl carrier protein	11	14	12	22	15	7	12	15	7	15	11	14	11	10	22	11	11
K02081	DeoR family transcriptional regulator, aga operon transcriptional repressor	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
K02082	tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]	1	0	1	0	0	1	1	4	1	0	0	1	1	3	1	1	0
K02083	allantoate deiminase [EC:3.5.3.9]	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K02092	allophycocyanin alpha subunit	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02093	allophycocyanin beta subunit	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02094	phycobilisome core linker protein	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02095	allophycocyanin-B	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02096	phycobilisome core-membrane linker protein	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02097	phycobilisome core component	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02100	MFS transporter, SP family, arabinose:H+ symporter	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0
K02101	arabinose operon protein AraL	10	7	8	5	4	3	4	6	3	4	7	4	5	6	7	4	4
K02106	short-chain fatty acids transporter	12	16	14	8	5	1	2	10	4	11	7	7	9	7	13	9	9
K02107	V/A-type H+-transporting ATPase subunit G/H	15	19	31	24	16	5	19	20	7	20	24	8	29	15	26	21	13
K02108	F-type H+-transporting ATPase subunit a	6	13	9	18	9	9	11	13	6	18	14	15	13	12	12	12	9
K02109	F-type H+-transporting ATPase subunit b	5	12	10	16	12	8	13	12	8	16	12	10	17	16	15	10	9
K02110	F-type H+-transporting ATPase subunit c	5	10	7	13	9	8	8	10	5	13	8	9	11	12	11	8	7
K02111	F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]	6	13	13	18	11	10	13	13	8	14	17	15	19	19	14	10	9
K02112	F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	4	12	12	14	10	9	14	13	7	18	11	12	17	15	11	10	11
K02113	F-type H+-transporting ATPase subunit delta	5	9	10	13	8	6	8	10	7	11	10	7	14	10	13	8	8
K02114	F-type H+-transporting ATPase subunit epsilon	5	10	10	13	5	6	8	9	6	12	8	8	10	9	10	7	6
K02115	F-type H+-transporting ATPase subunit gamma	5	11	12	13	6	6	8	10	7	10	12	13	11	12	11	9	8
K02116	ATP synthase protein I	2	3	2	3	3	1	4	3	3	4	3	3	5	2	2	3	2
K02117	V/A-type H+-transporting ATPase subunit A [EC:3.6.3.14]	21	22	28	30	22	8	22	25	8	29	24	18	37	28	26	26	16
K02118	V/A-type H+-transporting ATPase subunit B	14	20	29	24	14	8	14	20	5	21	15	9	28	23	25	16	9
K02119	V/A-type H+-transporting ATPase subunit C	20	19	30	30	21	11	25	24	10	26	24	18	31	25	33	22	20
K02120	V/A-type H+-transporting ATPase subunit D	17	27	26	23	25	5	14	26	8	24	26	14	30	28	25	20	18
K02121	V/A-type H+-transporting ATPase subunit E	18	23	28	30	24	11	23	25	11	27	24	14	32	22	30	23	19
K02122	V/A-type H+-transporting ATPase subunit F	16	16	22	24	15	8	20	19	8	25	17	12	25	17	22	18	17
K02123	V/A-type H+-transporting ATPase subunit I	26	36	42	35	30	13	34	35	15	36	30	17	45	33	50	34	27
K02124	V/A-type H+-transporting ATPase subunit K	17	23	27	29	23	7	23	19	8	25	22	13	29	24	30	21	17
K02126	F-type H+-transporting ATPase subunit a	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02128	F-type H+-transporting ATPase subunit c	1	0	1	0	1	0	0	2	1	1	3	1	0	1	1	1	1
K02133	F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	1	1	1	1	0	0	1	1	1	1	2	1	1	1	1	1	0
K02134	F-type H+-transporting ATPase subunit delta	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02136	F-type H+-transporting ATPase subunit gamma	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1
K02144	V-type H+-transporting ATPase subunit H	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1
K02145	V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	1	1	2	1	1	0	1	1	1	2	1	1	1	0	1	1	1
K02146	V-type H+-transporting ATPase subunit d	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
K02147	V-type H+-transporting ATPase subunit B	1	1	1	1	1	0	0	1	1	2	1	1	2	0	1	1	1
K02148	V-type H+-transporting ATPase subunit C	1	1	1	2	1	0	0	1	0	1	1	1	1	1	1	1	1
K02149	V-type H+-transporting ATPase subunit D	2	2	2	3	0	0	1	2	2	2	2	2	2	2	2	2	2
K02150	V-type H+-transporting ATPase subunit E	1	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1
K02151	V-type H+-transporting ATPase subunit F	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0
K02154	V-type H+-transporting ATPase subunit a	3	2	1	2	1	0	2	2	1	2	2	2	3	0	2	2	1
K02155	V-type H+-transporting ATPase 16kDa proteolipid subunit	0	2	0	2	0	0	0	2	2	2	2	2	2	0	2	2	0
K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein	5	9	11	15	9	4	4	9	6	9	9	10	10	9	8	7	6
K02167	TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes	0	1	1	3	1	0	1	1	0	1	1	1	1	1	1	1	0
K02168	choline/glycine/proline betaine transport protein	22	26	35	50	29	12	27	36	20	38	32	35	42	39	29	33	24
K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197]	0	1	1	3	2	0	2	1	0	1	2	1	3	2	1	1	0
K02170	pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	0	1	0	3	1	0	1	1	0	1	1	1	3	3	1	0	0
K02178	checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K02182	crotonobetaine/carnitine-CoA ligase [EC:6.2.1.-]	7	6	11	1	4	0	5	8	4	3	10	2	0	9	4	6	11
K02183	calmodulin	3	4	2	5	0	0	1	4	2	2	4	4	4	1	3	4	3
K02188	cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	3	5	3	5	4	4	3	6	3	3	4	3	4	3	4	3	3
K02189	cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	11	12	14	14	10	5	4	8	4	5	14	8	7	6	15	7	5
K02191	cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]	13	13	15	13	10	6	5	9	5	10	15	8	10	12	17	12	10
K02192	bacterioferritin-associated ferredoxin	1	4	3	3	3	3	1	3	1	3	2	2	2	2	2	2	2
K02193	heme exporter protein A [EC:3.6.3.41]	3	5	6	7	7	2	8	6	4	6	6	7	6	8	5	7	4
K02194	heme exporter protein B	4	7	9	12	5	3	9	8	4	8	7	8	7	6	6	11	5
K02195	heme exporter protein C	6	6	10	10	5	3	9	10	4	10	7	7	10	6	9	9	6
K02196	heme exporter protein D	0	1	0	3	2	0	1	1	0	0	1	1	0	1	0	2	0
K02197	cytochrome c-type biogenesis protein CcmE	3	5	8	9	5	3	6	6	2	8	7	5	7	7	5	7	4
K02198	cytochrome c-type biogenesis protein CcmF	6	12	14	18	11	8	12	14	5	11	14	13	13	11	9	14	5
K02199	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	2	2	3	5	4	2	3	5	2	4	4	3	6	2	4	3	2
K02200	cytochrome c-type biogenesis protein CcmH	0	1	0	5	2	0	1	2	0	2	2	4	3	4	2	3	0
K02201	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	29	37	44	50	30	10	34	35	16	36	35	24	43	41	44	29	28
K02202	cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1
K02203	phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K02204	homoserine kinase type II [EC:2.7.1.39]	0	1	1	4	1	0	1	1	0	1	1	1	1	1	0	1	0
K02206	cyclin-dependent kinase 2 [EC:2.7.11.22]	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	2
K02209	DNA replication licensing factor MCM5 [EC:3.6.4.12]	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02210	DNA replication licensing factor MCM7 [EC:3.6.4.12]	2	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02212	DNA replication licensing factor MCM4 [EC:3.6.4.12]	1	1	1	2	1	0	1	1	2	1	1	1	1	1	1	1	2
K02213	cell division control protein 6	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1
K02217	ferritin [EC:1.16.3.2]	2	1	1	4	1	0	1	1	0	2	2	1	2	1	2	0	2
K02218	casein kinase 1 [EC:2.7.11.1]	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02221	YggT family protein	5	6	5	6	4	4	5	6	4	6	4	5	6	5	8	5	5
K02224	cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]	22	26	31	30	28	12	22	22	14	26	27	22	26	32	33	25	17
K02225	cobalamin biosynthetic protein CobC	0	1	1	2	1	0	1	1	0	1	1	0	2	2	1	0	0
K02226	alpha-ribazole phosphatase [EC:3.1.3.73]	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0
K02227	adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	27	27	33	35	26	12	30	29	12	33	36	19	27	30	35	20	25
K02229	precorrin-3B synthase [EC:1.14.13.83]	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0
K02230	cobaltochelatase CobN [EC:6.6.1.2]	21	18	29	27	22	11	13	21	11	22	25	17	22	22	36	23	17
K02231	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]	1	3	2	3	3	1	1	3	1	3	2	1	2	2	2	2	2
K02232	adenosylcobyric acid synthase [EC:6.3.5.10]	17	26	38	33	29	9	21	21	10	28	29	18	29	30	34	24	21
K02233	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	22	29	32	37	27	13	24	29	14	31	35	23	34	27	39	23	21
K02234	cobalamin biosynthesis protein CobW	1	3	2	2	2	1	1	2	1	2	2	2	2	3	1	2	1
K02236	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
K02237	competence protein ComEA	4	11	9	12	7	5	7	8	5	11	9	7	7	9	9	6	6
K02238	competence protein ComEC	26	33	37	30	28	14	28	28	11	35	28	27	30	31	35	25	27
K02256	cytochrome c oxidase subunit 1 [EC:1.9.3.1]	1	1	1	0	1	1	0	3	2	2	1	1	1	1	1	1	1
K02257	protoheme IX farnesyltransferase [EC:2.5.1.-]	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02258	cytochrome c oxidase assembly protein subunit 11	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0
K02259	cytochrome c oxidase assembly protein subunit 15	23	35	44	40	33	15	36	34	19	34	37	25	46	43	44	38	24
K02260	cytochrome c oxidase assembly protein subunit 17	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1
K02261	cytochrome c oxidase subunit 2	1	1	1	1	1	1	1	2	0	2	0	1	0	1	1	1	0
K02262	cytochrome c oxidase subunit 3	1	1	1	0	1	1	1	1	1	0	2	1	0	1	1	1	1
K02274	cytochrome c oxidase subunit I [EC:1.9.3.1]	67	79	92	70	61	33	44	73	31	66	56	47	56	46	97	56	57
K02275	cytochrome c oxidase subunit II [EC:1.9.3.1]	49	71	74	71	59	27	48	63	31	75	61	42	75	67	79	53	52
K02276	cytochrome c oxidase subunit III [EC:1.9.3.1]	37	44	50	43	34	19	30	38	20	35	35	23	29	30	55	29	27
K02277	cytochrome c oxidase subunit IV [EC:1.9.3.1]	21	30	35	38	25	9	27	34	12	30	30	19	28	27	36	25	23
K02278	prepilin peptidase CpaA [EC:3.4.23.43]	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
K02279	pilus assembly protein CpaB	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
K02280	pilus assembly protein CpaC	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0
K02282	pilus assembly protein CpaE	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
K02283	pilus assembly protein CpaF	5	5	5	6	6	2	1	4	2	4	2	4	6	2	6	3	6
K02284	phycocyanin alpha chain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K02285	phycocyanin beta chain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K02286	phycocyanin-associated rod linker protein	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
K02288	phycocyanobilin lyase alpha subunit [EC:4.-.-.-]	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02289	phycocyanobilin lyase beta subunit	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02290	phycobilisome rod-core linker protein	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K02291	phytoene synthase [EC:2.5.1.32]	34	50	62	66	40	18	42	44	21	43	48	39	57	56	58	42	32
K02292	beta-carotene ketolase (CrtO type)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K02293	15-cis-phytoene desaturase [EC:1.3.5.5]	3	3	2	4	3	1	3	3	2	2	3	3	2	2	3	4	2
K02294	beta-carotene hydroxylase [EC:1.14.13.-]	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
K02295	cryptochrome	2	2	1	2	0	0	2	2	1	2	1	2	2	1	2	2	2
K02299	cytochrome o ubiquinol oxidase subunit III [EC:1.10.3.-]	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1
K02301	protoheme IX farnesyltransferase [EC:2.5.1.-]	31	46	50	55	32	21	40	37	18	43	39	27	50	45	51	36	32
K02302	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	0	3	1	4	2	0	1	2	0	2	1	3	2	0	1	1	0
K02303	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	27	25	35	28	30	10	20	22	12	25	23	19	29	33	37	25	24
K02304	precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	13	17	20	23	14	7	20	12	5	22	18	10	26	22	20	14	14
K02313	chromosomal replication initiator protein	6	19	16	23	16	12	16	18	10	27	21	24	22	21	15	17	11
K02314	replicative DNA helicase [EC:3.6.4.12]	7	16	13	32	18	9	18	17	6	23	19	18	17	24	15	15	12
K02315	DNA replication protein DnaC	1	0	0	2	0	1	0	1	0	0	0	0	2	1	3	2	1
K02316	DNA primase [EC:2.7.7.-]	7	13	12	19	11	9	14	13	6	16	17	18	16	22	14	15	7
K02319	DNA polymerase I [EC:2.7.7.7]	67	90	102	67	71	16	54	59	27	77	82	47	73	77	113	61	49
K02320	DNA polymerase alpha subunit A [EC:2.7.7.7]	1	1	2	1	1	0	1	1	2	1	1	1	1	3	1	1	2
K02321	DNA polymerase alpha subunit B	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0
K02322	DNA polymerase II large subunit [EC:2.7.7.7]	38	44	55	50	40	20	36	45	20	46	56	29	62	52	72	42	32
K02323	DNA polymerase II small subunit [EC:2.7.7.7]	25	36	38	34	29	16	31	26	12	38	36	19	42	41	37	26	25
K02324	DNA polymerase epsilon subunit 1 [EC:2.7.7.7]	4	8	9	7	1	0	5	7	6	10	7	5	8	4	7	8	4
K02325	DNA polymerase epsilon subunit 2 [EC:2.7.7.7]	1	1	1	1	1	0	1	1	1	1	2	1	1	0	1	1	1
K02326	DNA polymerase epsilon subunit 3 [EC:2.7.7.7]	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02327	DNA polymerase delta subunit 1 [EC:2.7.7.7]	4	4	4	5	0	0	7	5	1	5	4	4	5	4	5	4	5
K02328	DNA polymerase delta subunit 2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K02331	DNA polymerase phi [EC:2.7.7.7]	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1
K02332	DNA polymerase gamma 1 [EC:2.7.7.7]	0	0	0	2	1	0	1	2	1	1	0	0	0	0	2	0	0
K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]	46	70	63	53	52	21	45	55	19	58	57	34	66	51	77	52	38
K02335	DNA polymerase I [EC:2.7.7.7]	11	16	19	32	15	11	17	23	10	23	15	26	27	24	22	21	16
K02336	DNA polymerase II [EC:2.7.7.7]	2	3	2	1	3	0	1	3	0	1	0	1	1	2	3	2	0
K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]	8	13	15	23	14	8	18	14	11	25	17	28	21	24	13	16	10
K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	6	10	10	17	10	7	15	11	6	17	10	16	13	18	12	10	7
K02339	DNA polymerase III subunit chi [EC:2.7.7.7]	0	0	1	3	2	0	0	1	0	1	1	1	1	2	1	1	0
K02340	DNA polymerase III subunit delta [EC:2.7.7.7]	6	9	10	10	12	8	8	12	5	16	9	9	11	6	12	10	6
K02341	DNA polymerase III subunit delta' [EC:2.7.7.7]	7	10	11	18	11	6	15	12	6	12	9	11	12	10	10	12	7
K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	6	12	12	23	16	11	19	11	6	10	15	25	20	21	12	13	7
K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	4	10	11	18	9	5	9	12	6	16	10	14	17	10	14	17	5
K02346	DNA polymerase IV [EC:2.7.7.7]	4	4	4	10	3	4	4	8	3	6	2	7	7	8	6	5	5
K02347	DNA polymerase (family X)	35	49	50	61	43	23	46	49	15	51	51	27	63	51	61	44	39
K02349	DNA polymerase theta [EC:2.7.7.7]	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1
K02350	DNA polymerase zeta [EC:2.7.7.7]	1	2	2	1	1	0	2	1	1	1	1	1	2	1	3	1	1
K02351	putative membrane protein	0	1	0	2	1	0	0	1	0	1	0	1	1	2	0	0	0
K02355	elongation factor G	9	24	21	24	16	14	23	18	12	22	19	19	26	28	23	25	18
K02356	elongation factor P	7	13	13	16	7	3	11	13	8	16	13	12	12	12	11	13	10
K02357	elongation factor Ts	6	13	14	16	9	8	13	15	6	16	11	15	12	13	13	11	10
K02358	elongation factor Tu	6	8	12	11	11	6	8	14	6	14	10	11	10	14	11	11	10
K02363	2,3-dihydroxybenzoate-AMP ligase [EC:2.7.7.58]	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K02365	separase [EC:3.4.22.49]	0	2	2	2	0	0	2	2	2	1	1	2	1	0	2	2	2
K02369	alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0
K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	2	4	2	10	3	1	3	3	1	5	4	4	5	3	7	3	1
K02377	GDP-L-fucose synthase [EC:1.1.1.271]	5	7	12	19	8	9	11	6	10	11	15	14	14	14	13	10	9
K02379	FdhD protein	2	2	2	1	1	1	1	3	2	2	1	1	1	1	3	1	2
K02381	FdrA protein	1	2	2	2	1	2	4	3	1	1	5	1	5	4	2	2	2
K02385	flagellar protein FlbD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
K02386	flagella basal body P-ring formation protein FlgA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
K02387	flagellar basal-body rod protein FlgB	0	1	1	1	0	0	0	0	0	2	3	1	0	0	1	1	0
K02388	flagellar basal-body rod protein FlgC	0	1	1	2	0	0	0	0	0	2	2	1	1	0	1	1	0
K02389	flagellar basal-body rod modification protein FlgD	0	2	1	2	0	0	0	0	0	1	3	0	0	1	0	1	0
K02390	flagellar hook protein FlgE	0	2	1	2	0	0	0	0	0	2	4	1	0	3	1	2	1
K02391	flagellar basal-body rod protein FlgF	0	0	1	1	0	1	0	0	0	1	1	0	2	0	0	1	0
K02392	flagellar basal-body rod protein FlgG	0	2	2	4	0	2	0	2	0	2	3	1	2	2	1	2	0
K02393	flagellar L-ring protein precursor FlgH	0	0	1	1	0	2	0	1	0	0	3	3	0	1	2	1	0
K02394	flagellar P-ring protein precursor FlgI	0	2	1	2	1	2	0	1	0	1	3	2	1	1	1	1	0
K02395	flagellar protein FlgJ	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0
K02396	flagellar hook-associated protein 1 FlgK	0	2	1	3	0	1	0	0	0	4	6	1	1	1	1	1	0
