KO_ID,Level_a,Level_b,Pathway,Function
K07298,Brite hierarchies,Metabolism,Protein kinases ,serine/threonine-protein kinase 11 [EC:2.7.11.1]
K11838,Brite hierarchies,Genetic information processing,Ubiquitin system ,ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]
K07191,Brite hierarchies,Signaling and cellular processes,Transporters ,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 4"
K13302,Brite hierarchies,Metabolism,Protein kinases ,serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1]
K13303,Brite hierarchies,Metabolism,Protein kinases ,serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]
K13304,Brite hierarchies,Metabolism,Protein kinases ,serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]
K07201,Brite hierarchies,Genetic information processing,Transcription factors ,forkhead box protein O1
K09408,Brite hierarchies,Genetic information processing,Transcription factors ,forkhead box protein O3
K17847,Brite hierarchies,Genetic information processing,Transcription factors ,forkhead box protein O6
K04603,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 1
K17848,Brite hierarchies,Genetic information processing,Membrane trafficking ,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2"
K02206,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,cyclin-dependent kinase 2 [EC:2.7.11.22]
K11434,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,type I protein arginine methyltransferase [EC:2.1.1.319]
K09385,Brite hierarchies,Genetic information processing,Transcription factors ,forkhead box protein G
K05868,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,G2/mitotic-specific cyclin-B1
K21770,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,G2/mitotic-specific cyclin-B2
K21771,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,G2/mitotic-specific cyclin-B3
K16332,Brite hierarchies,Genetic information processing,Transcription factors ,retinoblastoma-like protein 2
K06631,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,polo-like kinase 1 [EC:2.7.11.21]
K08861,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,polo-like kinase 2 [EC:2.7.11.21]
K08862,Brite hierarchies,Genetic information processing,DNA repair and recombination proteins ,polo-like kinase 3 [EC:2.7.11.21]
K08863,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,polo-like kinase 4 [EC:2.7.11.21]
K04721,Brite hierarchies,Signaling and cellular processes,CD molecules ,tumor necrosis factor ligand superfamily member 10
K15618,Brite hierarchies,Genetic information processing,Transcription factors ,B-cell lymphoma 6 protein
K15464,Brite hierarchies,Signaling and cellular processes,Transporters ,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
K08336,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,ubiquitin-like protein ATG12
K08341,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,GABA(A) receptor-associated protein
K04288,Brite hierarchies,Signaling and cellular processes,CD molecules ,sphingosine 1-phosphate receptor 1
K04293,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,sphingosine 1-phosphate receptor 4
K10628,Brite hierarchies,Genetic information processing,Ubiquitin system ,V(D)J recombination-activating protein 1 [EC:2.3.2.27]
K10305,Brite hierarchies,Genetic information processing,Ubiquitin system ,F-box protein 25/32
K04129,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,muscarinic acetylcholine receptor M1
K04131,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,muscarinic acetylcholine receptor M3
K04133,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,muscarinic acetylcholine receptor M5
K04141,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor beta-1
K04142,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor beta-2
K04143,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor beta-3
K04144,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,dopamine receptor D1
K05840,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,dopamine receptor D5
K04150,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,histamine receptor H2
K04160,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,5-hydroxytryptamine receptor 4
K04161,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,5-hydroxytryptamine receptor 5
K04162,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,5-hydroxytryptamine receptor 6
K04633,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,guanine nucleotide-binding protein G(olf) subunit alpha
K05852,Brite hierarchies,Signaling and cellular processes,Transporters ,phospholamban
K16059,Brite hierarchies,Signaling and cellular processes,Transporters ,stromal interaction molecule 1
K18196,Brite hierarchies,Signaling and cellular processes,Transporters ,stromal interaction molecule 2
K16056,Brite hierarchies,Signaling and cellular processes,Ion channels ,calcium release-activated calcium channel protein 1
K16057,Brite hierarchies,Signaling and cellular processes,Ion channels ,calcium release-activated calcium channel protein 2
K16058,Brite hierarchies,Signaling and cellular processes,Ion channels ,calcium release-activated calcium channel protein 3
K04809,Brite hierarchies,Signaling and cellular processes,Ion channels ,nicotinic acetylcholine receptor alpha-7
K05215,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 1
K05216,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 2
K05217,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 3
K05218,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 4
K05219,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 5
K05220,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 7
K05221,Brite hierarchies,Signaling and cellular processes,Ion channels ,P2X purinoceptor 6
K05211,Brite hierarchies,Signaling and cellular processes,Ion channels ,"glutamate receptor ionotropic, NMDA 2C"
K05212,Brite hierarchies,Signaling and cellular processes,Ion channels ,"glutamate receptor ionotropic, NMDA 2D"
K04322,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,cysteinyl leukotriene receptor 1
K04323,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,cysteinyl leukotriene receptor 2
K04130,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,muscarinic acetylcholine receptor M2
K04135,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor alpha-1A
K04136,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor alpha-1B
K04137,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor alpha-1D
K04197,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,endothelin receptor type A
K04198,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,endothelin receptor type B
K04604,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 5
K04169,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,gastrin-releasing peptide receptor
K04149,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,histamine receptor H1
K04157,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,5-hydroxytryptamine receptor 2
K04248,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,lutropin-choriogonadotropic hormone receptor
K04211,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,neurotensin receptor 1
K04229,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,oxytocin receptor
K04226,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,arginine vasopressin receptor 1A
K04227,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,arginine vasopressin receptor 1B
K04297,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,leukotriene B4 receptor 2
K04279,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,platelet-activating factor receptor
K04258,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,prostaglandin E receptor 1
K04260,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,prostaglandin E receptor 3
K04262,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,prostaglandin F receptor
K03915,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,bradykinin receptor B1
K03916,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,bradykinin receptor B2
K04222,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,tachykinin receptor 1
K04223,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,tachykinin receptor 2
K04224,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,tachykinin receptor 3
K04264,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,thromboxane A2 receptor
K04282,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,thyrotropin-releasing hormone receptor
K04194,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,cholecystokinin A receptor
K04195,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,cholecystokinin B receptor
K04189,Brite hierarchies,Signaling and cellular processes,CD molecules ,C-X-C chemokine receptor type 4
K04635,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,guanine nucleotide-binding protein subunit alpha-11
K04636,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,guanine nucleotide-binding protein subunit alpha-14
K04637,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,guanine nucleotide-binding protein subunit alpha-15
K23441,Brite hierarchies,Metabolism,Peptidases and inhibitors ,hepatocyte growth factor-like protein
K05452,Brite hierarchies,Signaling and cellular processes,Cytokines and growth factors ,glial cell derived neurotrophic factor
K05101,Brite hierarchies,Metabolism,Protein kinases ,"neurotrophic tyrosine kinase, receptor type 3 [EC:2.7.10.1]"
K05100,Brite hierarchies,Signaling and cellular processes,CD molecules ,macrophage-stimulating 1 receptor [EC:2.7.10.1]
K05126,Brite hierarchies,Metabolism,Protein kinases ,proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]
K16896,Brite hierarchies,Signaling and cellular processes,Ion channels ,two pore calcium channel protein 1
K14077,Brite hierarchies,Signaling and cellular processes,Ion channels ,two pore calcium channel protein 2
K04992,Brite hierarchies,Signaling and cellular processes,Ion channels ,mucolipin 1
K04993,Brite hierarchies,Signaling and cellular processes,Ion channels ,mucolipin 2
K04994,Brite hierarchies,Signaling and cellular processes,Ion channels ,mucolipin 3
K20858,Brite hierarchies,Signaling and cellular processes,Transporters ,"calcium uniporter protein, mitochondrial"
K05862,Brite hierarchies,Signaling and cellular processes,Ion channels ,voltage-dependent anion channel protein 1
K15040,Brite hierarchies,Signaling and cellular processes,Ion channels ,voltage-dependent anion channel protein 2
K15041,Brite hierarchies,Signaling and cellular processes,Ion channels ,voltage-dependent anion channel protein 3
K05863,Brite hierarchies,Signaling and cellular processes,Transporters ,"solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31"
K09565,Brite hierarchies,Genetic information processing,Chaperones and folding catalysts ,peptidyl-prolyl isomerase F (cyclophilin D) [EC:5.2.1.8]
K05865,Brite hierarchies,Signaling and cellular processes,Cytoskeleton proteins ,"troponin C, slow skeletal and cardiac muscles"
K12042,Brite hierarchies,Signaling and cellular processes,Cytoskeleton proteins ,"troponin C, skeletal muscle"
K00871,Brite hierarchies,Metabolism,Protein kinases ,phosphorylase kinase gamma subunit [EC:2.7.11.19]
K08794,Brite hierarchies,Metabolism,Protein kinases ,calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]
K05871,Brite hierarchies,Metabolism,Protein kinases ,focal adhesion kinase 2 [EC:2.7.10.2]
K07207,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,tuberous sclerosis 2
K07208,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,Ras homolog enriched in brain
K07937,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,ADP-ribosylation factor 1/2
K08090,Brite hierarchies,Signaling and cellular processes,Transporters ,high affinity immunoglobulin epsilon receptor subunit beta
K07983,Brite hierarchies,Signaling and cellular processes,Exosome ,high affinity immunoglobulin epsilon receptor subunit gamma
K05703,Brite hierarchies,Genetic information processing,Membrane trafficking ,tyrosine-protein kinase Fyn [EC:2.7.10.2]
K01313,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,coagulation factor II (thrombin) [EC:3.4.21.5]
K09821,Brite hierarchies,Metabolism,Peptidases and inhibitors ,angiotensinogen
K04605,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 2
K04606,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 3
K04607,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 4
K04608,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 6
K04609,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 7
K04610,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,metabotropic glutamate receptor 8
K04228,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,arginine vasopressin receptor 2
K04273,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,lysophosphatidic acid receptor 6
K04175,Brite hierarchies,Signaling and cellular processes,CD molecules ,C-X-C chemokine receptor type 1
K05050,Brite hierarchies,Signaling and cellular processes,CD molecules ,C-X-C chemokine receptor type 2
K18441,Brite hierarchies,Genetic information processing,Membrane trafficking ,cytohesin
K01528,Brite hierarchies,Signaling and cellular processes,Exosome ,dynamin 1/3 [EC:3.6.5.5]
K23484,Brite hierarchies,Genetic information processing,Membrane trafficking ,dynamin 2 [EC:3.6.5.5]
K01379,Brite hierarchies,Signaling and cellular processes,Exosome ,cathepsin D [EC:3.4.23.5]
K03898,Brite hierarchies,Signaling and cellular processes,Exosome ,kininogen
K04265,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adenosine receptor A1
K04268,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adenosine receptor A3
K04213,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,delta-type opioid receptor
K04292,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,sphingosine 1-phosphate receptor 2
K04290,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,sphingosine 1-phosphate receptor 3
K04295,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,sphingosine 1-phosphate receptor 5
K04259,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,prostaglandin E receptor 2
K04587,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,pituitary adenylate cyclase-activating polypeptide type I receptor
K04590,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,vasoactive intestinal peptide receptor 2
K04578,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,corticotropin releasing hormone receptor 1
K04579,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,corticotropin releasing hormone receptor 2
K04249,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,thyrotropin receptor
K04200,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,melanocortin 2 receptor
K04581,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,glucagon-like peptide 1 receptor
K04580,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,gastric inhibitory polypeptide receptor
K08424,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,glucose-dependent insulinotropic receptor
K04247,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,follicle stimulating hormone receptor
K04153,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,5-hydroxytryptamine receptor 1
K04615,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,gamma-aminobutyric acid type B receptor
K04204,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,neuropeptide Y receptor type 1
K04217,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,somatostatin receptor 1
K04218,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,somatostatin receptor 2
K04221,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,somatostatin receptor 5
K08401,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,hydroxycarboxylic acid receptor 1
K08402,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,hydroxycarboxylic acid receptor 2/3
K04328,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,free fatty acid receptor 2
K10042,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,succinate receptor 1
K04284,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,growth hormone secretagogue receptor
K04955,Brite hierarchies,Signaling and cellular processes,Ion channels ,hyperpolarization activated cyclic nucleotide-gated potassium channel 2
K04957,Brite hierarchies,Signaling and cellular processes,Ion channels ,hyperpolarization activated cyclic nucleotide-gated potassium channel 4
K04948,Brite hierarchies,Signaling and cellular processes,Ion channels ,cyclic nucleotide gated channel alpha 1
K04949,Brite hierarchies,Signaling and cellular processes,Ion channels ,cyclic nucleotide gated channel alpha 2
K04950,Brite hierarchies,Signaling and cellular processes,Ion channels ,cyclic nucleotide gated channel alpha 3
K04951,Brite hierarchies,Signaling and cellular processes,Ion channels ,cyclic nucleotide gated channel alpha 4
K04952,Brite hierarchies,Signaling and cellular processes,Ion channels ,cyclic nucleotide gated channel beta 1
K04953,Brite hierarchies,Signaling and cellular processes,Ion channels ,cyclic nucleotide gated channel beta 3
K15494,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,protein phosphatase 1 regulatory subunit 1B
K18435,Brite hierarchies,Genetic information processing,Transcription factors ,transcription factor SOX9 (SOX group E)
K07294,Brite hierarchies,Signaling and cellular processes,Nuclear receptors ,peroxisome proliferator-activated receptor alpha
K06270,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,protein phosphatase 1 regulatory subunit 12A
K12755,Brite hierarchies,Signaling and cellular processes,Exosome ,myosin regulatory light chain 9
K12044,Brite hierarchies,Signaling and cellular processes,Cytoskeleton proteins ,"troponin I, cardiac muscle"
K05213,Brite hierarchies,Signaling and cellular processes,Ion channels ,"glutamate receptor ionotropic, NMDA 3A"
K05214,Brite hierarchies,Signaling and cellular processes,Ion channels ,"glutamate receptor ionotropic, NMDA 3B"
K05197,Brite hierarchies,Signaling and cellular processes,Ion channels ,glutamate receptor 1
K05198,Brite hierarchies,Signaling and cellular processes,Ion channels ,glutamate receptor 2
K05199,Brite hierarchies,Signaling and cellular processes,Ion channels ,glutamate receptor 3
K05200,Brite hierarchies,Signaling and cellular processes,Ion channels ,glutamate receptor 4
K01539,Brite hierarchies,Signaling and cellular processes,Exosome ,sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
K01540,Brite hierarchies,Signaling and cellular processes,CD molecules ,sodium/potassium-transporting ATPase subunit beta
K01538,Brite hierarchies,Signaling and cellular processes,Exosome ,sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
K13360,Brite hierarchies,Signaling and cellular processes,Transporters ,FXYD domain-containing ion transport regulator 1
K04138,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor alpha-2A
K04139,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor alpha-2B
K04140,Brite hierarchies,Signaling and cellular processes,G protein-coupled receptors ,adrenergic receptor alpha-2C
K04969,Brite hierarchies,Signaling and cellular processes,Ion channels ,transient receptor potential cation channel subfamily C member 6
K09183,Brite hierarchies,Genetic information processing,Transcription factors ,GATA-binding protein 4
K17751,Brite hierarchies,Signaling and cellular processes,Cytoskeleton proteins ,myosin heavy chain 6/7
K07376,Brite hierarchies,Metabolism,Protein kinases ,cGMP-dependent protein kinase 1 [EC:2.7.11.12]
K19477,Brite hierarchies,Metabolism,Protein kinases ,cGMP-dependent protein kinase 2 [EC:2.7.11.12]
K04936,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium large conductance calcium-activated channel subfamily M alpha member 1
K05274,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium large conductance calcium-activated channel subfamily M alpha member 3
K04937,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium large conductance calcium-activated channel subfamily M beta member 1
K04938,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium large conductance calcium-activated channel subfamily M beta member 2
K04939,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium large conductance calcium-activated channel subfamily M beta member 3
K04941,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium large conductance calcium-activated channel subfamily M beta member 4
K05001,Brite hierarchies,Signaling and cellular processes,Ion channels ,potassium inwardly-rectifying channel subfamily J member 8
K10159,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,toll-like receptor 2
K06465,Brite hierarchies,Signaling and cellular processes,CD molecules ,B-lymphocyte antigen CD19
K06236,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,collagen type I alpha
K19719,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,collagen type II alpha
K06237,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,collagen type IV alpha
K06238,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,collagen type VI alpha
K08131,Brite hierarchies,Signaling and cellular processes,Proteoglycans ,collagen type IX alpha
K06248,Brite hierarchies,Signaling and cellular processes,Proteoglycans ,chondroadherin
K04659,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,thrombospondin 2/3/4/5
K05717,Brite hierarchies,Signaling and cellular processes,Domain-containing proteins not elsewhere classified ,fibronectin 1
K06251,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,vitronectin
K06252,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,tenascin
K03900,Brite hierarchies,Signaling and cellular processes,Exosome ,von Willebrand factor
K06480,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha 1
K06481,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha 2
K06482,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha 3
K06483,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha 4
K06484,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha 5
K06485,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha 6
K06583,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin alpha 7
K06584,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin alpha 8
K06585,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin alpha 9
K06586,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin alpha 10
K06587,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin alpha 11
K06487,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin alpha V
K06525,Brite hierarchies,Signaling and cellular processes,CD molecules ,integrin beta 4
K06588,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin beta 5
K06589,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin beta 6
K06590,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin beta 7
K06591,Brite hierarchies,Signaling and cellular processes,Cell adhesion molecules ,integrin beta 8
K08266,Brite hierarchies,Genetic information processing,Membrane trafficking ,target of rapamycin complex subunit LST8
K07204,Brite hierarchies,Genetic information processing,Membrane trafficking ,regulatory associated protein of mTOR
K06071,Brite hierarchies,Metabolism,Protein kinases ,serine/threonine-protein kinase N1 [EC:2.7.11.13]
K23691,Brite hierarchies,Metabolism,Protein kinases ,serine/threonine-protein kinase N2 [EC:2.7.11.13]
K23692,Brite hierarchies,Metabolism,Protein kinases ,serine/threonine-protein kinase N3 [EC:2.7.11.13]
K09554,Brite hierarchies,Signaling and cellular processes,Glycosaminoglycan binding proteins ,cell division cycle protein 37
K16340,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]
K02089,Brite hierarchies,Metabolism,Protein kinases ,cyclin-dependent kinase 4 [EC:2.7.11.22]
K02091,Brite hierarchies,Metabolism,Protein kinases ,cyclin-dependent kinase 6 [EC:2.7.11.22]
K08524,Brite hierarchies,Signaling and cellular processes,Nuclear receptors ,retinoid X receptor alpha
K09420,Brite hierarchies,Genetic information processing,Transcription factors ,transcriptional activator Myb
K08271,Brite hierarchies,Metabolism,Protein kinases ,STE20-related kinase adapter protein alpha
K17532,Brite hierarchies,Metabolism,Protein kinases ,STE20-related kinase adapter protein beta
K07359,Brite hierarchies,Metabolism,Protein kinases ,calcium/calmodulin-dependent protein kinase kinase 2 [EC:2.7.11.17]
K07296,Brite hierarchies,Signaling and cellular processes,Domain-containing proteins not elsewhere classified ,adiponectin
K07292,Brite hierarchies,Signaling and cellular processes,Nuclear receptors ,hepatocyte nuclear factor 4-alpha
K13088,Brite hierarchies,Genetic information processing,Spliceosome ,ELAV-like protein 1
K06627,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,cyclin-A
K08292,Brite hierarchies,Metabolism,Protein kinases ,elongation factor 2 kinase [EC:2.7.11.20]
K03234,Brite hierarchies,Signaling and cellular processes,Exosome ,elongation factor 2
K07197,Brite hierarchies,Genetic information processing,Membrane trafficking ,sterol regulatory element-binding transcription factor 1
K18341,Brite hierarchies,Genetic information processing,Membrane trafficking ,TBC1 domain family member 1
K07877,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,Ras-related protein Rab-2A
K07901,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,Ras-related protein Rab-8A
K07903,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,Ras-related protein Rab-10
K07905,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,Ras-related protein Rab-11B
K07881,Brite hierarchies,Signaling and cellular processes,GTP-binding proteins ,Ras-related protein Rab-14
K06259,Brite hierarchies,Signaling and cellular processes,CD molecules ,CD36 antigen
K16184,Brite hierarchies,Genetic information processing,Membrane trafficking ,proline-rich AKT1 substrate 1
K08530,Brite hierarchies,Signaling and cellular processes,Nuclear receptors ,peroxisome proliferator-activated receptor gamma
K21357,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,serine/threonine-protein kinase ULK1 [EC:2.7.11.1]
K13780,Brite hierarchies,Signaling and cellular processes,Transporters ,"solute carrier family 7 (L-type amino acid transporter), member 5"
K06519,Brite hierarchies,Signaling and cellular processes,CD molecules ,"solute carrier family 3, member 2"
K14995,Brite hierarchies,Signaling and cellular processes,Transporters ,"solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 9"
K20404,Brite hierarchies,Genetic information processing,Membrane trafficking ,DEP domain-containing protein 5
K20405,Brite hierarchies,Genetic information processing,Membrane trafficking ,nitrogen permease regulator 2-like protein
K20406,Brite hierarchies,Genetic information processing,Membrane trafficking ,nitrogen permease regulator 3-like protein
K15705,Brite hierarchies,Genetic information processing,Ubiquitin system ,E3 ubiquitin-protein ligase RNF152 [EC:2.3.2.27]
K20402,Brite hierarchies,Genetic information processing,Membrane trafficking ,DEP domain-containing mTOR-interacting protein
K20403,Brite hierarchies,Genetic information processing,DNA repair and recombination proteins ,TELO2-interacting protein 1
K10421,Brite hierarchies,Signaling and cellular processes,Cytoskeleton proteins ,CAP-Gly domain-containing linker protein 1
K20064,Brite hierarchies,Genetic information processing,Membrane trafficking ,growth factor receptor-bound protein 10
